N,I (Estimation),Erreur
2,9.012177245031452,
4,9.203569175227681,0.0637973100654096
8,9.257115419770905,0.017848748181074587
16,9.27163284834016,0.00483914285641814
32,9.275447537153452,0.0012715629377642774
64,9.276424858416533,0.0003257737543602701
128,9.276671484915644,8.220883303700077e-05
256,9.276733318916653,2.0611333669743697e-05
512,9.276748789394315,5.156825887198124e-06
1024,9.276752657779555,1.2894617468598806e-06
2048,9.276753624924023,3.223814892076386e-07
4096,9.276753866713163,8.05963799403268e-08
8192,9.276753927160602,2.0149146351400304e-08
16384,9.276753942272501,5.037299762496635e-09
32768,9.27675394605044,1.2593126541560196e-09
65536,9.276753946994958,3.14839709858461e-10
131072,9.276753947231065,7.870208188857457e-11
262144,9.276753947290159,1.9698020992109377e-11
524288,9.27675394730505,4.963733128230767e-12
1048576,9.276753947308562,1.170619157164765e-12
2097152,9.276753947308798,7.875181988007777e-14
4194304,9.276753947310345,5.157356023725394e-13
8388608,9.27675394730942,3.084939711091768e-13
16777216,9.276753947310322,3.007964248051091e-13
33554432,9.276753947309686,2.1197858283509655e-13
67108864,9.276753947310585,2.9961218691217556e-13
