N,I (Estimation),Erreur,Méthode,Matériau
2,15.4985941509118,-,Trapèze,Eau
4,15.824965582578672,0.1087904772222903,Trapèze,Eau
8,15.916102525449348,0.0303789809568921,Trapèze,Eau
16,15.940777704620574,0.0082250597237418,Trapèze,Eau
32,15.947256210098386,0.0021595018259373,Trapèze,Eau
64,15.94891538201966,0.0005530573070912,Trapèze,Eau
128,15.949334020808198,0.0001395462628461,Trapèze,Eau
256,15.949438978086375,3.4985759392943315e-05,Trapèze,Eau
512,15.94946523752019,8.753144604393507e-06,Trapèze,Eau
1024,15.949471803665206,2.1887150053837936e-06,Trapèze,Eau
2048,15.949473445282358,5.472057171829192e-07,Trapèze,Eau
4096,15.949473855691718,1.368031199433517e-07,Trapèze,Eau
8192,15.949473958294394,3.4200892192378283e-08,Trapèze,Eau
16384,15.949473983945063,8.550223640213517e-09,Trapèze,Eau
32768,15.949473990357614,2.137516238083966e-09,Trapèze,Eau
65536,15.949473991960986,5.34457219221925e-10,Trapèze,Eau
131072,15.949473992361746,1.3358677127447058e-10,Trapèze,Eau
262144,15.94947399246208,3.344465445328145e-11,Trapèze,Eau
524288,15.94947399248636,8.093673879254007e-12,Trapèze,Eau
1048576,15.949473992493663,2.4342009889248098e-12,Trapèze,Eau
2097152,15.949473992495118,4.849454171562684e-13,Trapèze,Eau
4194304,15.94947399249346,5.524469770534779e-13,Trapèze,Eau
8388608,15.949473992495136,5.583681665181455e-13,Trapèze,Eau
16777216,15.949473992497712,8.585724723767877e-13,Trapèze,Eau
33554432,15.94947399249816,1.4921397450962106e-13,Trapèze,Eau
67108864,15.949473992495468,8.970602038971266e-13,Trapèze,Eau
2,15.498594150911801,0.43516190888916384,Romberg,Eau
4,15.933756059800965,0.013573809712292828,Romberg,Eau
8,15.947329869513258,0.0018702005776241037,Romberg,Eau
16,15.949200070090882,0.0002484659494612629,Romberg,Eau
32,15.949448536040343,2.399506726113998e-05,Romberg,Eau
64,15.949472531107604,1.4165864126169936e-06,Romberg,Eau
128,15.949473947694017,4.4156005074569293e-08,Romberg,Eau
256,15.949473991850022,6.413287678697088e-10,Romberg,Eau
512,15.94947399249135,3.922195901395753e-12,Romberg,Eau
1024,15.949473992495273,7.105427357601002e-15,Romberg,Eau
2048,15.94947399249528,0.0,Romberg,Eau
4096,15.94947399249528,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
-,-,-,Romberg,Eau
2,9.012177245031452,-,Trapèze,Os
4,9.20356917522768,0.0637973100654096,Trapèze,Os
8,9.257115419770903,0.0178487481810745,Trapèze,Os
16,9.27163284834016,0.0048391428564181,Trapèze,Os
32,9.275447537153452,0.0012715629377642,Trapèze,Os
64,9.276424858416531,0.0003257737543602,Trapèze,Os
128,9.276671484915644,8.220883303700077e-05,Trapèze,Os
256,9.276733318916651,2.0611333669743697e-05,Trapèze,Os
512,9.276748789394317,5.156825887198124e-06,Trapèze,Os
1024,9.276752657779555,1.2894617468598806e-06,Trapèze,Os
2048,9.276753624924025,3.223814892076386e-07,Trapèze,Os
4096,9.276753866713165,8.05963799403268e-08,Trapèze,Os
8192,9.276753927160602,2.0149146351400304e-08,Trapèze,Os
16384,9.2767539422725,5.037299762496635e-09,Trapèze,Os
32768,9.27675394605044,1.2593126541560196e-09,Trapèze,Os
65536,9.276753946994958,3.14839709858461e-10,Trapèze,Os
131072,9.276753947231065,7.870208188857457e-11,Trapèze,Os
262144,9.27675394729016,1.9698020992109374e-11,Trapèze,Os
524288,9.27675394730505,4.963733128230767e-12,Trapèze,Os
1048576,9.276753947308562,1.170619157164765e-12,Trapèze,Os
2097152,9.276753947308798,7.875181988007777e-14,Trapèze,Os
4194304,9.276753947310343,5.157356023725395e-13,Trapèze,Os
8388608,9.27675394730942,3.084939711091768e-13,Trapèze,Os
16777216,9.276753947310322,3.007964248051091e-13,Trapèze,Os
33554432,9.276753947309686,2.1197858283509657e-13,Trapèze,Os
67108864,9.276753947310583,2.9961218691217556e-13,Trapèze,Os
2,9.012177245031452,0.2551892402616378,Romberg,Os
4,9.26736648529309,0.008104194836144885,Romberg,Os
8,9.275470680129235,0.0011193220236016543,Romberg,Os
16,9.276590002152837,0.00014874115898422247,Romberg,Os
32,9.276738743311821,1.4335596260295347e-05,Romberg,Os
64,9.276753078908081,8.42023245795076e-07,Romberg,Os
128,9.276753920931327,2.6004100206478142e-08,Romberg,Os
256,9.276753946935427,3.7213787607015547e-10,Romberg,Os
512,9.276753947307565,2.227551476607914e-12,Romberg,Os
1024,9.276753947309793,1.7763568394002505e-15,Romberg,Os
2048,9.276753947309794,1.7763568394002505e-15,Romberg,Os
4096,9.276753947309793,3.552713678800501e-15,Romberg,Os
8192,9.276753947309796,0.0,Romberg,Os
16384,9.276753947309796,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
-,-,-,Romberg,Os
